timestamp,pump_id,flow_m3h,discharge_pressure_bar,suction_pressure_bar,rpm,motor_power_kw,vibration_mm_s,bearing_temp_c,displacement_um,status
2027-07-01T00:00:00,PU-201A,179.24,6.43,3.4,1441.7,45.08,2.08,55.3,39.0,running
2027-07-01T00:00:00,PU-202B,16.33,5.27,2.43,1507.9,9.82,2.47,54.3,43.7,standby
2027-07-01T00:00:00,PU-203C,210.79,7.07,4.22,1508.0,73.48,2.84,57.9,32.2,running
2027-07-01T00:00:00,PU-204A,120.61,5.13,2.78,1520.8,39.89,2.49,61.1,49.5,alarm
2027-07-01T00:00:00,PU-205D,159.85,5.56,1.78,1484.1,39.74,2.21,60.7,52.5,running
2027-07-01T00:00:00,PU-206E,122.49,4.6,1.69,1517.8,31.26,2.3,53.1,36.5,running
2027-07-01T00:00:00,PU-207F,270.07,8.65,5.27,1468.6,84.76,2.52,61.3,40.8,running
2027-07-01T00:00:00,PU-208G,127.18,6.66,4.46,1532.6,69.4,2.04,58.5,39.0,running
2027-07-01T00:00:00,PU-209H,111.34,5.56,2.91,1475.2,62.52,2.08,60.7,43.1,running
2027-07-01T00:00:00,PU-210J,69.68,2.94,1.01,1512.2,22.58,2.69,62.7,40.3,running
2027-07-01T00:00:00,PU-211K,193.93,5.21,2.83,1543.0,62.32,1.95,66.5,42.5,running
2027-07-01T00:00:00,PU-212L,265.58,8.33,6.6,1472.9,88.78,2.26,59.5,45.3,running
2027-07-01T00:15:00,PU-201A,18.54,6.4,2.51,1458.7,13.55,2.09,61.4,43.7,standby
2027-07-01T00:15:00,PU-202B,53.25,5.05,2.41,896.9,18.07,2.01,63.7,23.4,startup
2027-07-01T00:15:00,PU-203C,192.89,6.27,3.4,1492.9,63.81,2.57,56.5,45.2,running
2027-07-01T00:15:00,PU-204A,87.65,5.95,3.69,1482.5,51.01,2.29,57.0,39.9,alarm
2027-07-01T00:15:00,PU-205D,157.62,4.58,2.13,1526.7,42.21,2.18,59.1,46.4,running
2027-07-01T00:15:00,PU-206E,141.09,4.72,0.8,1466.5,35.98,2.67,60.3,38.3,running
2027-07-01T00:15:00,PU-207F,206.73,8.09,6.04,1466.0,80.51,2.11,60.4,55.6,running
2027-07-01T00:15:00,PU-208G,208.53,8.08,4.4,1500.0,74.11,2.64,58.8,40.3,running
2027-07-01T00:15:00,PU-209H,95.48,5.45,2.63,1475.0,56.09,2.23,66.6,50.6,alarm
